Date,Symbol,Company,Open,High,Low,Close,PrevClose,Volume,TradedValue,Trades
19-06-2026,JSWENERGY,JSW ENERGY LIMITED,573.25,581,564.6,570.1,575.55,3659448,2092992100,58602
19-06-2026,ADANIENT,ADANI ENTERPRISES LIMITED,3017,3051.9,3009.1,3038.4,3013.4,3620222,10986283617,91842
19-06-2026,HINDZINC,HINDUSTAN ZINC LIMITED,563,565.3,552.55,563.55,571.45,3550093,1994582349,48456
19-06-2026,PFC,POWER FIN CORP LTD.,429.3,432,425.65,431,429.3,3496218,1504757456,35512
19-06-2026,GANDHAR,GANDHAR OIL REFINE IND L,174.29,184.5,172.02,180.26,174.11,3490988,631169068.2,30345
19-06-2026,BDL,BHARAT DYNAMICS LIMITED,1309.3,1378.8,1304.9,1373.4,1311.8,3488237,4735278594,96043
19-06-2026,AGIIL,AGI INFRA LIMITED,353.5,385,351.5,375.65,352.85,3481832,1286683515,20590
19-06-2026,ATGL,ADANI TOTAL GAS LIMITED,735,742.3,721.5,727.3,724.35,3480575,2542482852,51938
19-06-2026,JINDALSAW,JINDAL SAW LIMITED,263.02,269.91,259.5,260.88,264.06,3446472,906463771.6,40983
19-06-2026,THELEELA,LEELA PALACES HOTEL LTD,457.6,502,450.4,494.2,457.6,3439293,1676436478,71429
19-06-2026,GPPL,GUJARAT PIPAVAV PORT LTD,156,156.05,152.6,153.08,154.97,3430275,527803420.1,14952
19-06-2026,M&M,MAHINDRA & MAHINDRA LTD,3110,3130,3059,3074.8,3136.5,3408840,10509268755,115716
19-06-2026,DAVANGERE,DAVANGERE SUGAR COMPANY L,3.65,3.65,3.6,3.61,3.63,3383037,12214437.54,1908
19-06-2026,TTML,TATA TELESERV(MAHARASTRA),44.89,45.46,44.02,44.19,44.89,3305285,147427946.3,10972
19-06-2026,NCC,NCC LIMITED,153.4,159.9,153.07,155.84,154.98,3287428,515826341.9,27767
19-06-2026,IT,KOTAKMAMC - KOTAKIT,31.1,31.1,29.52,30.38,31.58,3267977,97896851.36,4776
19-06-2026,HARDWYN,HARDWYN INDIA LIMITED,25.78,26,25,25.19,25.84,3255262,82852570.29,3477
